filename,Numeric numbers,mean_r,mean_g,mean_b,median_r,median_g,median_b,mean_h,mean_s,mean_v,median_h,median_s,median_v,mean_gray,median_gray,contrast,energy,homogeneity,entropy,RI,CI,HI,SI,lab_L,lab_a,lab_b,luv_L,luv_u,luv_v,xyz_X,xyz_Y,xyz_Z,image_path,image_no,soc,moisture,soil_type,Mahalanobis_Distance
253.jpg,253,185.905971,158.1224091,108.9813656,193.0,164.0,114,19.14347497,112.1480389,185.905971,19,105,193.0,0.629346458,0.654573333,2145.10418,0.008891813,0.033888385,14.13172982,1.612191818,0.438467584,2.139398973,1.906512789,66.54146268,3.399292061,29.46956007,66.54146268,21.06020382,37.05873518,0.352346637,0.360281958,0.195567868,/Users/dharamkar.1/Library/CloudStorage/OneDrive-TheOhioStateUniversity/VSCode_image_processing_project/data/Step2_output/enhanced_sample_field/253.jpg,253,2.5,7.68,3,6.994630754302987
309.jpg,309,83.84845344,68.23616869,41.66316566,83.0,68.0,41,19.03814573,135.7319834,83.84845344,19,129,83.0,0.273089669,0.270967059,583.2956438,0.015337491,0.056164929,12.5107481,1.804628973,0.133434976,2.184344726,0.390725804,29.92583253,2.624325658,18.55511087,29.92583253,11.18420447,18.39179403,0.061361297,0.06205791,0.030330254,/Users/dharamkar.1/Library/CloudStorage/OneDrive-TheOhioStateUniversity/VSCode_image_processing_project/data/Step2_output/enhanced_sample_field/309.jpg,309,2.5,25.85,3,6.987008412601548
723.jpg,723,124.114497,115.9708426,99.71918846,124.0,116.0,99,20.17592076,55.48196349,124.1145568,20,50,124.0,0.456978921,0.456196471,1769.632988,0.008733933,0.033021149,14.07417859,1.87635347,0.251832664,2.021567995,0.637953717,49.12124134,0.226904951,10.12380442,49.12124134,5.83651363,13.05893266,0.168571923,0.176926972,0.145090423,/Users/dharamkar.1/Library/CloudStorage/OneDrive-TheOhioStateUniversity/VSCode_image_processing_project/data/Step2_output/enhanced_sample_field/723.jpg,723,2.51,21.72,2,5.604998042600631
481.jpg,481,130.5761918,105.313078,77.86425781,127.0,101.0,73,15.60024713,120.3850247,130.5762317,16,107,127.0,0.426284038,0.410378824,3753.741031,0.006585836,0.020391226,14.74588728,1.49991544,0.535278523,2.865018661,1.043295086,46.32156979,5.996675468,19.23392464,46.32156979,18.11234057,22.05434938,0.15748692,0.155074784,0.093438917,/Users/dharamkar.1/Library/CloudStorage/OneDrive-TheOhioStateUniversity/VSCode_image_processing_project/data/Step2_output/enhanced_sample_field/481.jpg,481,2.05,77.01,1,6.640721600456173
470.jpg,470,139.9026626,118.9717195,85.25424506,140.0,119.0,85,18.62456154,101.0669244,139.9026626,19,100,140.0,0.474464765,0.474002745,475.4036475,0.017458876,0.057029535,12.13594259,1.818601342,1.038129314,2.244453182,1.790290785,51.16887572,3.049919815,21.57419998,51.16887572,15.50360789,25.92343844,0.190424114,0.194146815,0.113892683,/Users/dharamkar.1/Library/CloudStorage/OneDrive-TheOhioStateUniversity/VSCode_image_processing_project/data/Step2_output/enhanced_sample_field/470.jpg,470,2.51,0.0,2,7.252272243387538
323.jpg,323,148.4399514,121.2030851,68.44752471,150.0,122.0,69,19.79167331,148.0795998,148.4399713,20,138,150.0,0.483087229,0.487627451,2067.143037,0.00789651,0.029973805,14.29748447,1.653402924,0.767090143,2.048686179,2.053119007,52.38138163,3.696919548,32.66206099,52.38138163,21.34232884,36.96289509,0.202124085,0.204851735,0.084285451,/Users/dharamkar.1/Library/CloudStorage/OneDrive-TheOhioStateUniversity/VSCode_image_processing_project/data/Step2_output/enhanced_sample_field/323.jpg,323,1.92,14.31,2,6.073029414759405
534.jpg,534,97.28310348,84.91878587,68.72464923,96.0,84.0,67,17.05305325,89.35088489,97.28310348,17,76,96.0,0.338739632,0.334887843,1737.887012,0.008320051,0.0302476,14.11256642,2.503980408,0.24906988,2.575733917,0.505502841,36.86971433,2.247895064,11.32851402,36.86971433,8.446342532,12.90055755,0.092677461,0.094677531,0.069231844,/Users/dharamkar.1/Library/CloudStorage/OneDrive-TheOhioStateUniversity/VSCode_image_processing_project/data/Step2_output/enhanced_sample_field/534.jpg,534,2.66,60.57,1,6.820649441775707
274.jpg,274,106.6364397,97.28587372,72.3119021,106.0,96.0,71,21.95912388,85.33946508,106.6364397,22,83,106.0,0.382244101,0.379119216,562.1675408,0.015430435,0.061537071,12.56725222,1.314758342,0.162052454,1.751259118,0.425176857,41.49754194,-0.528531342,15.62095815,41.49754194,7.138125105,18.62963596,0.115008724,0.121779411,0.079273532,/Users/dharamkar.1/Library/CloudStorage/OneDrive-TheOhioStateUniversity/VSCode_image_processing_project/data/Step2_output/enhanced_sample_field/274.jpg,274,2.29,0.0,2,7.164433117160871
12.jpg,12,155.5428292,139.7229153,116.8341837,160.0,143.0,120,17.75147481,73.89341518,155.5430684,18,64,160.0,0.554644586,0.568998431,2759.412436,0.006529826,0.025721331,14.78650092,1.610934959,0.331214571,2.398577467,0.876443863,58.95478401,2.161065447,14.41146271,58.95478401,11.16373759,18.7966095,0.261606418,0.269788916,0.206031298,/Users/dharamkar.1/Library/CloudStorage/OneDrive-TheOhioStateUniversity/VSCode_image_processing_project/data/Step2_output/enhanced_sample_field/12.jpg,12,5.34,86.86,1,6.993066488003525
277.jpg,277,120.0549665,106.2929887,73.51263552,120.0,106.0,73,21.15902025,103.087492,120.0549665,21,100,120.0,0.41903508,0.417456863,858.7703395,0.012809383,0.047001605,13.02078554,2.522946731,0.434550097,1.841303077,0.763710615,45.43354353,0.245056845,20.40151437,45.43354353,10.56647228,24.17760516,0.141574922,0.148539765,0.085123332,/Users/dharamkar.1/Library/CloudStorage/OneDrive-TheOhioStateUniversity/VSCode_image_processing_project/data/Step2_output/enhanced_sample_field/277.jpg,277,1.92,0.0,2,6.166218420122897
