image_no,soc,entropy,median_h,mean_s,lab_b,luv_u,CI,luv_v,median_s,median_r,SI,median_v,mean_r,moisture,soil_type
253,2.5,14.13172982,19,112.1480389,29.46956007,21.06020382,0.438467584,37.05873518,105,193.0,1.906512789,193.0,185.905971,7.68,3
309,2.5,12.5107481,19,135.7319834,18.55511087,11.18420447,0.133434976,18.39179403,129,83.0,0.390725804,83.0,83.84845344,25.85,3
723,2.51,14.07417859,20,55.48196349,10.12380442,5.83651363,0.251832664,13.05893266,50,124.0,0.637953717,124.0,124.114497,21.72,2
481,2.05,14.74588728,16,120.3850247,19.23392464,18.11234057,0.535278523,22.05434938,107,127.0,1.043295086,127.0,130.5761918,77.01,1
470,2.51,12.13594259,19,101.0669244,21.57419998,15.50360789,1.038129314,25.92343844,100,140.0,1.790290785,140.0,139.9026626,0.0,2
323,1.92,14.29748447,20,148.0795998,32.66206099,21.34232884,0.767090143,36.96289509,138,150.0,2.053119007,150.0,148.4399514,14.31,2
534,2.66,14.11256642,17,89.35088489,11.32851402,8.446342532,0.24906988,12.90055755,76,96.0,0.505502841,96.0,97.28310348,60.57,1
274,2.29,12.56725222,22,85.33946508,15.62095815,7.138125105,0.162052454,18.62963596,83,106.0,0.425176857,106.0,106.6364397,0.0,2
12,5.34,14.78650092,18,73.89341518,14.41146271,11.16373759,0.331214571,18.7966095,64,160.0,0.876443863,160.0,155.5428292,86.86,1
277,1.92,13.02078554,21,103.087492,20.40151437,10.56647228,0.434550097,24.17760516,100,120.0,0.763710615,120.0,120.0549665,0.0,2
126,6.72,14.49823598,20,109.9255022,22.21779936,13.479766,0.420091446,27.08096871,98,141.0,1.297058266,141.0,139.8386679,1.03,1
45,3.11,13.24298883,21,76.28156888,19.33765306,10.80353738,0.451013663,25.44344629,74,162.0,1.743983518,162.0,161.6602559,0.0,1
696,1.75,13.82480658,16,103.7830835,21.23309726,20.89125854,0.931604858,25.50528242,99,158.0,1.914477992,158.0,156.0214445,39.6,1
645,2.77,13.27227276,18,112.3020169,19.36756509,13.98253505,0.508340609,21.87084365,106,115.0,0.787470759,115.0,115.1444117,3.96,2
408,1.27,15.18032621,19,112.7398358,20.23995702,14.15792236,0.34276114,25.19700626,90,151.0,1.016796845,151.0,148.2289939,13.6,1
579,2.66,12.73942226,21,72.50564015,10.46716549,5.323131414,0.082629161,12.05143013,67,89.0,0.208464859,89.0,88.61533402,37.0,1
23,1.48,12.46003892,22,102.7449976,25.41573076,12.93439414,0.740292677,31.54245215,100,151.0,2.554788608,151.0,149.6930604,0.0,1
103,1.18,14.49627251,22,127.5933115,32.39009411,16.24950699,0.444325601,39.68541103,116,168.0,2.013245399,168.0,165.0045041,3.91,1
360,2.5,14.07900958,23,101.3103675,22.90810822,9.05935816,0.331182375,28.57375013,94,137.0,1.275254962,137.0,136.4363839,27.6,3
28,1.32,11.94103641,20,69.90407765,16.46758082,10.74261401,0.575721304,21.46389105,69,154.0,2.201644392,154.0,153.7985292,0.0,1
293,2.5,14.62064773,19,96.90908004,14.2439879,8.76367041,0.245904447,16.99208949,81,108.0,0.692602227,108.0,110.9156768,57.41,3
61,3.11,13.96652374,19,88.1398876,17.7059432,12.41619085,0.540528522,22.06862103,81,142.0,1.354423456,142.0,140.6910276,58.85,1
269,2.05,13.26880788,21,120.9175303,26.27425452,15.36246386,0.801526298,30.78574672,118,135.0,1.305660439,135.0,136.5585738,0.0,2
503,1.27,13.62513022,17,125.8756378,17.17186378,13.0357014,0.293398926,17.98303495,116,94.0,0.582259534,94.0,95.5516183,60.16,1
41,1.18,12.84977439,22,95.80610252,22.78078864,11.42765258,0.599703472,28.48574924,93,146.0,1.919228756,146.0,144.3629026,0.0,1
631,1.59,14.15989714,18,97.1711376,22.35249204,16.39160322,0.591598708,28.08541165,93,163.0,1.736668191,163.0,161.8573621,1.41,1
353,1.92,13.85530032,19,149.2288146,28.020636,19.7459901,0.730395531,30.21926021,140,126.0,1.156985332,126.0,125.8885922,33.39,2
472,2.51,14.35906911,19,117.0639403,22.85023616,14.74238397,0.491663689,27.38832033,103,140.0,1.471969794,140.0,138.1796091,0.0,2
437,2.07,13.11459377,18,117.0514987,23.96403198,18.634293,0.795243419,27.77487734,116,136.0,1.403742978,136.0,138.6828563,0.0,1
295,2.5,14.13100328,22,73.79456314,11.45442964,5.228839417,0.143970481,13.97956996,65,99.0,0.481011658,99.0,103.0092674,57.41,3
520,2.77,13.26754787,19,88.43622449,13.70159494,8.59573978,0.204574149,15.78791764,83,100.0,0.434840547,100.0,101.0637556,50.91,2
710,1.59,13.66631313,17,67.97871492,11.48719367,8.386246348,0.388425399,14.18106205,62,121.0,0.72413014,121.0,119.5885882,29.25,1
474,2.77,12.50150067,19,135.1539381,26.85247284,18.11066826,0.830914299,29.5473711,133,125.0,0.760217814,125.0,125.9286312,0.0,2
591,1.27,13.26084077,17,88.35335619,16.31378815,12.7262635,0.671119918,19.65555058,85,130.0,1.110734423,130.0,128.425582,26.02,1
383,2.66,15.12142395,16,92.73612883,14.69067349,12.95625729,0.327724352,18.41461735,74,147.0,0.762018593,147.0,144.4103157,19.2,1
529,1.75,14.60616691,17,115.1788929,19.84629959,15.92722165,0.54450507,23.54538327,98,136.0,1.209473983,136.0,135.3193692,63.76,1
356,1.92,14.46165369,23,78.40407765,17.21618699,7.539949761,0.260973729,22.46817637,69,144.0,1.048416163,144.0,141.9714605,33.39,2
652,2.05,14.2445666,18,123.1615912,29.81739171,23.67930544,0.673919369,36.01419588,114,179.0,2.228292193,179.0,174.2719428,2.19,1
590,1.27,12.76459053,17,108.6651188,15.74693872,11.62484796,0.170807222,16.99349265,103,98.0,0.365163994,98.0,96.77387596,26.02,1
58,6.72,14.42854317,19,84.3511639,15.2289042,10.19973566,0.340840508,18.9324249,75,129.0,0.89256295,129.0,130.0918766,53.32,1
180,1.18,13.58435115,21,126.2144252,30.21534125,17.1291386,0.690541194,35.96683358,119,154.0,2.347452293,154.0,152.0955238,3.23,1
275,1.92,13.98742031,20,138.0539501,28.98235688,18.06077452,0.671053025,32.97339481,132,136.0,1.422220974,136.0,137.589784,0.0,2
190,2.12,14.53766986,21,115.7867706,24.57430645,14.12028854,0.462667025,29.9441138,103,147.0,1.427024004,147.0,144.5935706,0.85,1
51,1.32,13.72347387,20,105.7545839,19.83771306,12.27455395,0.464837604,23.4325755,99,122.0,1.016479046,122.0,123.261639,48.55,1
151,6.72,14.66970901,18,128.2211217,23.25571704,17.11774858,0.497522814,26.9648479,114,132.0,1.27332806,132.0,134.1554129,25.64,1
365,2.07,15.06899343,18,136.0665059,27.66222205,20.37160308,0.461971589,32.84547591,118,161.0,1.376290629,161.0,155.7442004,17.5,1
307,1.92,13.31890651,20,127.2992068,20.3523744,11.75560437,0.253144919,22.02103484,119,101.0,0.557262246,101.0,100.9974091,28.31,2
44,3.11,12.6241574,20,92.84811464,20.57595311,11.86956953,0.672724991,25.43064886,90,139.0,1.555403349,139.0,138.2390784,0.0,1
97,1.49,14.15149804,22,97.49057318,24.02142588,12.00786055,0.380015542,30.71189697,90,160.0,1.512366703,160.0,157.8844467,2.79,1
