feature,mi_score_raw,mi_score_norm,rank_by_mi
median_h,0.26912267221109687,1.0,1
entropy,0.21284634471249664,0.7908896822544267,2
mean_s,0.12475885414970911,0.46357615701678834,3
median_s,0.12459231043193242,0.46295731759902997,4
CI,0.11051557892153951,0.41065131381741155,5
lab_b,0.108240157868142,0.4021963552117215,6
luv_v,0.10808446700432306,0.4016178425857142,7
SI,0.10044451095360518,0.37322946494384396,8
luv_u,0.07930544902568304,0.29468141191566616,9
median_r,0.07579742574780912,0.28164637756106425,10
median_v,0.06544725040225519,0.24318742774268784,11
mean_r,0.061713446470745836,0.2293134426903226,12
mean_v,0.061339352948826864,0.22792339435717607,13
RI,0.05957501516560004,0.22136750752411546,14
