feature,pca_score_raw,pca_score_norm,mi_score_raw,mi_score_norm,combined_score,rank
entropy,0.21507625888413237,0.8507921381005024,0.21284634471249664,0.7908896822544267,0.8328214013466797,1
median_h,0.18293198733661956,0.7236368041762464,0.26912267221109687,1.0,0.8065457629233725,2
mean_s,0.24081765384336504,0.9526191671211881,0.12475885414970911,0.46357615701678834,0.8059062640898682,3
lab_b,0.24555627827314033,0.971364073840231,0.108240157868142,0.4021963552117215,0.8006137582516781,4
luv_u,0.25279530598897687,1.0,0.07930544902568304,0.29468141191566616,0.7884044235746998,5
CI,0.2364217601789881,0.9352300243632581,0.11051557892153951,0.41065131381741155,0.7778564111995041,6
luv_v,0.2335869076293388,0.9240160006749665,0.10808446700432306,0.4016178425857142,0.7672965532481908,7
median_s,0.22078515544222727,0.8733752178604717,0.12459231043193242,0.46295731759902997,0.7502498477820392,8
median_r,0.23549685322398892,0.9315713054982823,0.07579742574780912,0.28164637756106425,0.7365938271171167,9
SI,0.22164245868459828,0.8767665120105632,0.10044451095360518,0.37322946494384396,0.7257053978905473,10
median_v,0.23549685322398908,0.9315713054982829,0.06544725040225519,0.24318742774268784,0.7250561421716044,11
mean_r,0.23568322727970456,0.9323085583320978,0.061713446470745836,0.2293134426903226,0.7214100236395653,12
mean_v,0.23568529008326242,0.9323167183078133,0.061339352948826864,0.22792339435717607,0.7209987211226221,13
RI,0.169057080885809,0.6687508702917955,0.05957501516560004,0.22136750752411546,0.5345358614614915,14
