feature,pca_score_raw,pca_score_norm,rank_by_pca
luv_u,0.25279530598897687,1.0,1
lab_b,0.24555627827314033,0.971364073840231,2
mean_s,0.24081765384336504,0.9526191671211881,3
CI,0.2364217601789881,0.9352300243632581,4
mean_v,0.23568529008326242,0.9323167183078133,5
mean_r,0.23568322727970456,0.9323085583320978,6
median_v,0.23549685322398908,0.9315713054982829,7
median_r,0.23549685322398892,0.9315713054982823,8
luv_v,0.2335869076293388,0.9240160006749665,9
SI,0.22164245868459828,0.8767665120105632,10
median_s,0.22078515544222727,0.8733752178604717,11
entropy,0.21507625888413237,0.8507921381005024,12
median_h,0.18293198733661956,0.7236368041762464,13
RI,0.169057080885809,0.6687508702917955,14
