Model_1,Model_2,Composite_1,Composite_2,Difference,Winner,p_value,Holm_Threshold,Significant_Holm
LightGBM,LightGBMXT,0.9687450024772832,0.0,0.9687450024772832,LightGBM,[0.01522906],0.005555555555555556,False
XGBoost,LightGBMXT,0.9056342160545618,0.0,0.9056342160545618,XGBoost,[1.04632166e-20],0.001388888888888889,True
LightGBM,RandomForestMSE,0.9687450024772832,0.0899867896014619,0.8787582128758213,LightGBM,[1.23056851e-06],0.0025,True
CatBoost,LightGBMXT,0.8425301028982612,0.0,0.8425301028982612,CatBoost,[1.985493e-16],0.0016129032258064516,True
XGBoost,RandomForestMSE,0.9056342160545618,0.0899867896014619,0.8156474264531,XGBoost,[6.65681329e-05],0.0038461538461538464,True
LightGBM,LightGBMLarge,0.9687450024772832,0.21169469176414027,0.757050310713143,LightGBM,[5.07612953e-13],0.001851851851851852,True
CatBoost,RandomForestMSE,0.8425301028982612,0.0899867896014619,0.7525433132967994,CatBoost,[0.57393979],0.025,False
WeightedEnsemble_L2,LightGBMXT,0.7389338298070438,0.0,0.7389338298070438,WeightedEnsemble_L2,[3.65682441e-20],0.0014285714285714286,True
XGBoost,LightGBMLarge,0.9056342160545618,0.21169469176414027,0.6939395242904216,XGBoost,[0.9071016],0.05,False
WeightedEnsemble_L2,RandomForestMSE,0.7389338298070438,0.0899867896014619,0.6489470402055819,WeightedEnsemble_L2,[4.15385627e-06],0.002631578947368421,True
CatBoost,LightGBMLarge,0.8425301028982612,0.21169469176414027,0.630835411134121,CatBoost,[0.00888121],0.005,False
LightGBM,ExtraTreesMSE,0.9687450024772832,0.41006112342662343,0.5586838790506599,LightGBM,[2.37235569e-05],0.003125,True
NeuralNetTorch,LightGBMXT,0.5566645309364158,0.0,0.5566645309364158,NeuralNetTorch,[5.42227918e-20],0.0014705882352941176,True
WeightedEnsemble_L2,LightGBMLarge,0.7389338298070438,0.21169469176414027,0.5272391380429036,WeightedEnsemble_L2,[0.05675545],0.00625,False
XGBoost,ExtraTreesMSE,0.9056342160545618,0.41006112342662343,0.4955730926279384,XGBoost,[3.5034767e-05],0.0033333333333333335,True
NeuralNetTorch,RandomForestMSE,0.5566645309364158,0.0899867896014619,0.4666777413349539,NeuralNetTorch,[2.35923784e-05],0.0029411764705882353,True
CatBoost,ExtraTreesMSE,0.8425301028982612,0.41006112342662343,0.4324689794716378,CatBoost,[0.18071313],0.01,False
LightGBM,NeuralNetTorch,0.9687450024772832,0.5566645309364158,0.41208047154086747,LightGBM,[4.22803798e-16],0.0016666666666666668,True
ExtraTreesMSE,LightGBMXT,0.41006112342662343,0.0,0.41006112342662343,ExtraTreesMSE,[1.5331823e-13],0.0017857142857142859,True
XGBoost,NeuralNetTorch,0.9056342160545618,0.5566645309364158,0.3489696851181461,XGBoost,[0.35473237],0.0125,False
NeuralNetTorch,LightGBMLarge,0.5566645309364158,0.21169469176414027,0.3449698391722755,NeuralNetTorch,[0.1029721],0.0071428571428571435,False
WeightedEnsemble_L2,ExtraTreesMSE,0.7389338298070438,0.41006112342662343,0.3288727063804204,WeightedEnsemble_L2,[3.36946094e-07],0.0020833333333333333,True
ExtraTreesMSE,RandomForestMSE,0.41006112342662343,0.0899867896014619,0.32007433382516154,ExtraTreesMSE,[0.4423735],0.016666666666666666,False
CatBoost,NeuralNetTorch,0.8425301028982612,0.5566645309364158,0.2858655719618455,CatBoost,[7.26129851e-07],0.002380952380952381,True
LightGBM,WeightedEnsemble_L2,0.9687450024772832,0.7389338298070438,0.22981117267023943,LightGBM,[1.03817534e-16],0.0015625,True
LightGBMLarge,LightGBMXT,0.21169469176414027,0.0,0.21169469176414027,LightGBMLarge,[4.65142851e-17],0.0015151515151515152,True
ExtraTreesMSE,LightGBMLarge,0.41006112342662343,0.21169469176414027,0.19836643166248316,ExtraTreesMSE,[4.61435927e-05],0.0035714285714285718,True
WeightedEnsemble_L2,NeuralNetTorch,0.7389338298070438,0.5566645309364158,0.18226929887062804,WeightedEnsemble_L2,[0.00072048],0.004166666666666667,True
XGBoost,WeightedEnsemble_L2,0.9056342160545618,0.7389338298070438,0.16670038624751804,XGBoost,[0.13666342],0.008333333333333333,False
NeuralNetTorch,ExtraTreesMSE,0.5566645309364158,0.41006112342662343,0.14660340750979234,NeuralNetTorch,[6.30283656e-07],0.002272727272727273,True
LightGBM,CatBoost,0.9687450024772832,0.8425301028982612,0.126214899579022,LightGBM,[1.4970509e-08],0.002,True
LightGBMLarge,RandomForestMSE,0.21169469176414027,0.0899867896014619,0.12170790216267836,LightGBMLarge,[0.00073702],0.004545454545454546,True
CatBoost,WeightedEnsemble_L2,0.8425301028982612,0.7389338298070438,0.10359627309121744,CatBoost,[6.30283656e-07],0.002173913043478261,True
RandomForestMSE,LightGBMXT,0.0899867896014619,0.0,0.0899867896014619,RandomForestMSE,[4.17299234e-12],0.0019230769230769232,True
LightGBM,XGBoost,0.9687450024772832,0.9056342160545618,0.06311078642272139,LightGBM,[3.1522598e-15],0.001724137931034483,True
XGBoost,CatBoost,0.9056342160545618,0.8425301028982612,0.0631041131563006,XGBoost,[1.01560461e-05],0.002777777777777778,True
